mẹ cô ấy	cô ấy mẹ
loài thú ăn thịt cỡ lớn lông màu vàng có vằn đen là hổ	thú lớn lông màu vàng vằn đen thịt ăn là hổ
loài thú ăn thịt khó săn là hổ	thú thịt ăn săn khó là hổ
nó thích là kẹo chanh	kẹo chanh nó thích
hai người gặp nhau ở Yên_Bái	ở Yên_Bái hai người gặp
hai người gặp nhau lần cuối_cùng là ở Yên_Bái	ở Yên_Bái hai người lần cuối_cùng gặp
anh_ấy cần thì tôi làm xong ngay	anh_ấy cần thì tôi làm xong ngay
nếu anh thấy cần thì tôi làm xong ngay	nếu anh cần thì tôi làm xong ngay
khi mẹ lên tàu , các con đánh điện cho ba	khi mẹ tàu lên con ba đánh điện
thuở trời_đất nổi cơn gió_bụi	thuở trời_đất cơn gió_bụi nổi
khách má_hồng nhiều nỗi truân_chuyên	khách má_hồng nỗi truân_chuyên
lúc bà trở_dạ , dông_bão nỗi lên ầm_ầm	lúc bà trở_dạ dông_bão ầm_ầm
người nách thước , kẻ tay đao	người thước nách kẻ đao tay
khi chén rượu , khi cuộc cờ	khi chén rượu khi cờ
khi xem hoa nở , khi chờ trăng lên	khi hoa nở xem khi trăng lên chờ
đứa bảo có , đứa bảo không , biết nghe đứa nào bây_giờ	đứa bảo có đứa bảo không nghe đứa nào
ai chứ tôi thì tôi không biết	ai chứ tôi không biết
ở đâu chứ ở đây thì khỏi lo	ở đâu chứ ở đây lo khỏi
gì chứ cơm ngày hai bữa thì vẫn có	gì chứ cơm hai bữa có
ai chứ vợ thì_phải nịnh chứ	ai chứ nịnh vợ chứ
thế_nào chứ con_trâu đi trước cái cày đi_sau thì chưa phải là chủ_nghĩa	thế_nào chứ con_trâu trước đi cày đi_sau thì chủ_nghĩa chưa phải
suốt hai ngày đi bộ	hai ngày đi bộ
vào một buổi chiều hè , Ánh ra sông	vào một chiều hè Ánh sông ra
tuy mới học lớp 6 , Thúy đã làm được Toán lớp 7	tuy học lớp 6 mới Thúy Toán lớp 7 làm được
để nâng cao năng_suất , ta phải cải_tiến thao_tác	nâng cao năng_suất để ta cải_tiến thao_tác phải
tay ôm chồng sách , Nam bước vào phòng	tay sách ôm Nam phòng bước vào
vì trời mưa , cháu không đi nhà_trẻ	vì mưa cháu nhà_trẻ đi không
hôm_qua và hôm_kia thì họ đi bộ	hôm_qua và hôm_kia họ bộ đi
chiều_hôm qua thì Ánh ra sông	chiều_hôm qua Ánh sông ra
đang học lớp 6 mà Thúy đã làm được Toán lớp 7	lớp 6 học đang mà Thúy Toán lớp 7 làm được
muốn nâng cao năng_suất thì ta phải cải_tiến thao_tác	nâng cao năng_suất muốn ta cải_tiến thao_tác phải
Tay ôm chồng sách thế kia thì bước làm_sao được	sách tay ôm thế kia bước làm_sao
trời mưa thì cháu không đi nhà_trẻ được	mưa nhà_trẻ cháu không đi
Thúy đã làm được Toán lớp 7 khi đang còn học lớp 6	khi học lớp 6 Thúy Toán lớp 7 làm được
ta phải cải_tiến thao_tác để nâng cao năng_suất	ta cải_tiến thao_tác phải để nâng cao năng_suất
cháu không đi nhà_trẻ được vì trời mưa	nhà_trẻ cháu đi không được vì mưa
bước làm_sao được khi tay ôm chông sách thế kia	bước làm_sao khi tay ôm sách thế kia
bước làm_sao được với chồng sách ôm trên tay thế kia	bước làm_sao với sách tay ôm thế kia
họ đi bộ hôm_qua và hôm_kia	hôm_qua hôm_kia họ đi bộ
Ánh ra sông chiều_hôm qua	chiều_hôm qua Ánh ra sông
bao_giờ thì anh về	anh về bao_giờ
anh về bao_giờ	anh về bao_giờ
ở đây tôi cũng làm_việc	tôi ở đây làm_việc
tôi cũng làm_việc ở đây	tôi làm_việc ở đây
vào ngày chủ_nhật tôi chỉ nghe nhạc	chủ_nhật tôi nhạc nghe
tôi chỉ nghe nhạc vào ngày chủ_nhật	chủ_nhật tôi nhạc nghe
giếng này nước trong	giếng này nước trong
anh_ấy tôi đã ra_sức chiều_chuộng	anh_ấy tôi ra_sức chiều_chuộng
nước giếng này trong	nước giếng này trong
tôi đã ra_sức chiều_chuộng anh_ấy	anh_ấy tôi ra_sức chiều_chuộng
giếng nước này trong mà_lại gần nhà	giếng này nước trong gần nhà
nước giềng này trong mà_lại gần nhà	nước giềng này trong gần nhà
anh_ấy tôi đã ra_sức chiều_chuộng mà vẫn kêu là mình bị bạc_đãi	anh_ấy tôi ra_sức chiều_chuộng mà mình bị bạc_đãi kêu
tôi đã ra_sức chiều_chuộng anh_ấy mà vẫn kêu là mình bi bạc_đãi	tôi anh_ấy ra_sức chiều_chuộng mà mình bi bạc_đãi kêu
mẹ đã về	mẹ đã về
cái bình vỡ mất rồi	bình vỡ rồi
anh_ấy rất buồn	anh_ấy buồn rất
gây ra chuyện này không phải là tôi	gây chuyện này tôi không phải
ngồi bên phải là anh tôi	bên phải tôi ngồi là anh
bệnh_nhân X đã mổ xong	bệnh_nhân X mổ xong
thuốc này uống ngày năm giọt	thuốc ngày uống giọt năm
nó ăn nhiều nhất_là kẹo chanh	nó kẹo chanh ăn nhiều
khi vui thì vỗ_tay vào	khi vui vỗ_tay
năm phút nữa bắt_đầu nhé	năm phút bắt_đầu
máy bay cât cánh là vào lúc 6 giờ	máy bay cât cánh giờ 6
giường này cháu bé nằm	cháu bé giường này nằm
ở đây thì không tiện	ở đây tiện không
chìa_khóa này không mở được cửa	chìa_khóa này cửa mở không được
nồi đồng nấu ốc	nồi đồng ốc nấu
tôi mở cái ổ_khóa này bằng mũi dao_nhíp	tôi ổ_khóa này mở bằng mũi dao_nhíp
nấu ếch thì_phải nồi đất	ếch nồi đất nấu
mây vàng thì gió , mây đỏ thì mưa	mây vàng gió mây đỏ mưa
ông ấy đến thì tôi đi	ông ấy đến tôi đi
dù ai nói ngã nói nghiêng thì ta vẫn vững như kiềng ba chân	dù nói ngã nói nghiêng ta như kiềng ba chân
Kasparov là vô_địch cờ_vua thế_giới giới năm 1988	Kasparov vô_địch cờ_vua thế_giới giới năm 1988
nhà_nước là tôi	nhà_nước tôi là
phê_bình không phải là mạt_sát	phê_bình không phải mạt_sát
mạt_sát không phải là phê_bình	mạt_sát không phải phê_bình
vàng gió , đỏ mưa	vàng gió đỏ mưa
mưa trắng , nắng đen	mưa trắng nắng đen
của đau , con xót	của đau con xót
Nam trúng_cử	Nam trúng_cử
Nam đã trúng_cử	Nam trúng_cử đã
Nam trúng_cử rồi	Nam trúng_cử rồi
Nam có_thể trúng_cử đấy	Nam trúng_cử có_thể
có_thể Nam sẽ trúng_cử	có_thể Nam trúng_cử sẽ
Nam có_thể sẽ trúng_cử	có_thể Nam trúng_cử sẽ
Nam chắc_chắn sẽ trúng_cử	Nam trúng_cử chắc_chắn
chắc_chắn là Nam sẽ trúng_cử	chắc_chắn Nam trúng_cử sẽ
Nam trúng_cử là cái chắc	Nam trúng_cử chắc
Nam thì tôi tin chắc là sẽ trúng_cử	tôi tin Nam trúng_cử chắc
Nam sẽ trúng_cử một_cách chắc_chắn	Nam trúng_cử chắc_chắn
theo ý tôi thì nên làm ngay	theo tôi nên làm ngay
lẽ_ra thì anh phải đến sớm hơn	lẽ_ra anh đến sớm hơn phải
nói_chung thì kết_quả cũng khả_quan	nói_chung kết_quả khả_quan
quả_tình là tôi có ý gì chê anh đâu	quả_tình tôi anh ý chê có
hiếm một nỗi là ông_bà ấy không có con_trai	hiếm ông_bà ấy con_trai không
trời hình_như muốn trở rét	trời rét muốn
đúng là anh này say rồi	đúng anh này say
tội này ít_nhất là ba năm tù	tội này tù ba năm ít_nhất
chẳng thà ông ấy cứ nói_toẹt ra	chẳng thà ông ấy nói_toẹt ra
đội ta e thua mất	đội ta thua mất
đoạn này tôi thấy không ổn	tôi đoạn này thấy không ổn
thiết_tưởng chuyện này anh thừa rõ	thiết_tưởng chuyện này anh rõ
may_mà ta đã dự_liệu trước cả rồi	may_mà ta dự_liệu trước rồi
hình_như anh sốt ruột	hình_như anh sốt ruột
nhỡ sẩy chân một cái thì khốn	nhỡ sẩy chân thì khốn
cái này giá chỉ năm ngàn thì nhiều	cái này giá chỉ năm ngàn
Nam sẽ trúng_cử mới chết chứ	Nam trúng_cử mới chết chứ
thôi_thì có phải bán cả con lẫn chó cũng đành	thôi_thì con chó bán phải đành
nó còn được thăng chức nữa không_biết_chừng	không_biết_chừng nó thăng chức nữa
nó suýt ngã	nó ngã suýt
cứ nói thế_thì nó khắc hiểu	cứ nói thế_thì nó khắc hiểu
mọi người phải có_mặt lúc 6 giờ	mọi người giờ 6 có_mặt
chỉ còn hai bát cơm trong nồi	hai bát cơm nồi chỉ còn
có những mười người vắng_mặt	có người mười vắng_mặt
gã kia làm hỏng cái máy mất	gã kia máy làm hỏng
nó cố_ý làm hỏng cái máy thật	nó máy làm hỏng cố_ý
Nam sẽ trúng_cử đó là một điều chắc_chắn	Nam trúng_cử là điều chắc_chắn
thế_mà quả thị , lạ thay , vẫn không rơi xuống	thế_mà quả thị rơi xuống không lạ
của_đáng_tội , nó có biết gì đâu	của_đáng_tội nó biết gì
luật này , như ai_nấy đều biết , có một phạm_vi hiệu luật rất hẹp	ai_nấy đều biết luật này phạm_vi hiệu luật hẹp
nó làm rách cái màn mất	nó cái màn làm rách
nó làm rách mất cái màn	nó cái màn làm rách
nó làm rách cái màn mất rồi	nó cái màn làm rách
vì không đọc kỹ đề , nó đã làm hỏng mất bài tập_làm_văn	đề đọc kỹ không nó tập_làm_văn hỏng
tớ sẽ được điểm 10 về môn toán một_cách chắc_chắn	tớ toán điểm 10 được
tôi chỉ tập_trung tư_tưởng được trong vòng một giờ đồng_hồ	tôi tư_tưởng tập_trung được một giờ
ông ấy làm_việc liên_tục suốt từ sáng đến chiều	ông ấy làm_việc sáng chiều liên_tục
nó làm hỏng bài tập_làm_văn vì không đọc kỹ đề_bài	nó tập_làm_văn làm hỏng vì đề_bài đọc không kỹ
suốt từ sáng đến chiều , ông ấy làm_việc liên_tục	sáng chiều ông ấy làm_việc liên_tục
chắc_chắn là tớ sẽ được điểm 10 về môn toán	tớ toán điểm 10 được chắc_chắn
nó hỏng kì thi này vì môn toán	nó toán thi hỏng
nó hỏng kì thi này vì dốt	nó thi hỏng vì dốt
nó hỏng kì thi này vì lạc_đề	nó thi hỏng vì lạc_đề
nó hỏng kì thi này vì đề thi khó quá	nó thi hỏng vì đề khó
em ơi buồn làm_chi	em buồn làm_chi
vần vấn_đề này thưa các bạn chúng_ta có rất nhiều ý_kiến	các bạn chúng_ta vấn_đề này ý_kiến nhiều có
cậu Vàng đi_đời rồi ông giáo ạ	ông giáo cậu Vàng đi_đời rồi
mà chàng quên chí cao vì sự_nghiệp	mà chàng sự_nghiệp chí cao vì
giời_ơi là giời , có chồng_con nhà nào như_thế không	giời_ơi giời có chồng_con nhà nào như_thế
sau trúc , ô_kìa	trúc sau ô_kìa
Xiêm_áo ai	Xiêm_áo ai
trời_đất ạ , có đời_nào như_vậy , cái thổ_tả gì cũng đắt	trời_đất có đời_nào như_vậy thổ_tả gì đắt cũng
vâng , mời bà cứ ngồi chơi thư_thả xơi nước , xơi trầu đã	mời bà ngồi chơi nước xơi trầu xơi
ô_hay , con làm_gì	ô_hay con làm_gì
vâng , tôi biết	vâng tôi biết
Tính ông Cửu nhà tôi nhân lão tâm bất lão	tính ông Cửu tôi nhân lão tâm bất lão
ô_hay , mẹ_con nó đi đâu cả rồi	ô_hay mẹ_con đâu
cô bé nhà bên ai_ngờ cũng là du_kích	cô bé nhà bên ai_ngờ là du_kích
ông Năm ấy mà , ông ấy tốt lắm	ông Năm tốt
điều ta không muốn thì không nên làm cho người khác	ta điều muốn không làm cho người khác nên không
bằng_lòng hay không thì cũng nói cho ngta biết	bằng_lòng hay không thì nói người_ta biết
dễ người dễ ta	dễ người dễ ta
	
lắm thầy rầy ma	thầy lắm ma rầy
	
	
xấu chàng khổ ai	chàng xấu khổ ai
ở đâu quen đấy	ở đâu quen đấy
mai mẹ về	mai mẹ về
ở đây bơi rất thích	ở đây bơi thích
bài này giải rất dễ	bài này giải dễ
mát thì ở đây mát hơn	mát thì ở đây mát hơn
cơm đã dọn xong	cơm dọn xong
người vẽ bức này là ông Đức	người bức này vẽ là Đức
lấy chồng hay_chữ là tiên	chồng hay_chữ lấy là tiên
năm_ngoái lạnh lắm	năm_ngoái lạnh
ở đây vui quá nhỉ	ở đây vui quá
có yêu thì nói rằng yêu	yêu thì nói yêu
gà trống , gà mái đều là gà sống cả	gà trống gà mái đều gà sống
về hay ở đều không tiện	về hay ở không tiện
họ sống và chiến_đấu	họ sống và chiến_đấu
dẫn_đầu đội_hình là cờ và biểu_ngữ	đội_hình dẫn_đầu cờ biểu_ngữ
muốn kịp thì mai đi máy_bay	kịp muốn thì mai máy_bay
